id,title,city,country,company,size_of_company,company_field,date_of_publication,number_of_applicants,type_of_employment,skills,vacancy
506,Data Visualization,Lisbon,Portugal,Celfocus,"1,001-5,000",IT Services and IT Consulting,2023-05-09,56.0,,aws,другое
506,Data Visualization,Lisbon,Portugal,Celfocus,"1,001-5,000",IT Services and IT Consulting,2023-05-09,56.0,,data studio,другое
506,Data Visualization,Lisbon,Portugal,Celfocus,"1,001-5,000",IT Services and IT Consulting,2023-05-09,56.0,,gcp,другое
506,Data Visualization,Lisbon,Portugal,Celfocus,"1,001-5,000",IT Services and IT Consulting,2023-05-09,56.0,,java,другое
506,Data Visualization,Lisbon,Portugal,Celfocus,"1,001-5,000",IT Services and IT Consulting,2023-05-09,56.0,,power bi,другое
506,Data Visualization,Lisbon,Portugal,Celfocus,"1,001-5,000",IT Services and IT Consulting,2023-05-09,56.0,,sql,другое
506,Data Visualization,Lisbon,Portugal,Celfocus,"1,001-5,000",IT Services and IT Consulting,2023-05-09,56.0,,tableau,другое
506,Data Visualization,Lisbon,Portugal,Celfocus,"1,001-5,000",IT Services and IT Consulting,2023-05-09,56.0,,custom reports,другое
506,Data Visualization,Lisbon,Portugal,Celfocus,"1,001-5,000",IT Services and IT Consulting,2023-05-09,56.0,,qlik sense,другое
507,Data Analyst,Lisbon,Portugal,Dellent,51-200,IT Services and IT Consulting,2023-04-25,12.0,,api,data analyst
507,Data Analyst,Lisbon,Portugal,Dellent,51-200,IT Services and IT Consulting,2023-04-25,12.0,,excel,data analyst
507,Data Analyst,Lisbon,Portugal,Dellent,51-200,IT Services and IT Consulting,2023-04-25,12.0,,java,data analyst
507,Data Analyst,Lisbon,Portugal,Dellent,51-200,IT Services and IT Consulting,2023-04-25,12.0,,powerbi,data analyst
507,Data Analyst,Lisbon,Portugal,Dellent,51-200,IT Services and IT Consulting,2023-04-25,12.0,,python,data analyst
507,Data Analyst,Lisbon,Portugal,Dellent,51-200,IT Services and IT Consulting,2023-04-25,12.0,,sql,data analyst
507,Data Analyst,Lisbon,Portugal,Dellent,51-200,IT Services and IT Consulting,2023-04-25,12.0,,vba,data analyst
507,Data Analyst,Lisbon,Portugal,Dellent,51-200,IT Services and IT Consulting,2023-04-25,12.0,,решение задач,data analyst
507,Data Analyst,Lisbon,Portugal,Dellent,51-200,IT Services and IT Consulting,2023-04-25,12.0,,database queries,data analyst
508,Chemical development process  Lab analyst,Braine-l’Alleud,Belgium,Eurofins PSS Insourcing Solutions,"1,001-5,000",Pharmaceuticals,2023-05-09,62.0,On-site,английский язык,analyst
508,Chemical development process  Lab analyst,Braine-l’Alleud,Belgium,Eurofins PSS Insourcing Solutions,"1,001-5,000",Pharmaceuticals,2023-05-09,62.0,On-site,лабораторные навыки,analyst
509,DATA ANALYST IT,Vila Nova de Cerveira,Portugal,Potenzia Consultores,1-10,Staffing & Recruiting,2023-05-23,17.0,On-site,etl,data analyst
509,DATA ANALYST IT,Vila Nova de Cerveira,Portugal,Potenzia Consultores,1-10,Staffing & Recruiting,2023-05-23,17.0,On-site,excel,data analyst
509,DATA ANALYST IT,Vila Nova de Cerveira,Portugal,Potenzia Consultores,1-10,Staffing & Recruiting,2023-05-23,17.0,On-site,powerbi,data analyst
509,DATA ANALYST IT,Vila Nova de Cerveira,Portugal,Potenzia Consultores,1-10,Staffing & Recruiting,2023-05-23,17.0,On-site,powerpoint,data analyst
509,DATA ANALYST IT,Vila Nova de Cerveira,Portugal,Potenzia Consultores,1-10,Staffing & Recruiting,2023-05-23,17.0,On-site,анализ данных,data analyst
